source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,dry_matter_intake_kg_day
"DMI, milk yield and composition.xlsx",Sheet1,668,506,2,T1,HF87.5,13.39
"DMI, milk yield and composition.xlsx",Sheet1,669,506,3,T1,HF87.5,13.42
"DMI, milk yield and composition.xlsx",Sheet1,670,506,4,T1,HF87.5,12.69
"DMI, milk yield and composition.xlsx",Sheet1,671,506,5,T1,HF87.5,13.29
"DMI, milk yield and composition.xlsx",Sheet1,672,506,1,T2,HF87.5,12.05
"DMI, milk yield and composition.xlsx",Sheet1,673,506,2,T2,HF87.5,12.74
"DMI, milk yield and composition.xlsx",Sheet1,674,506,3,T2,HF87.5,13.06
"DMI, milk yield and composition.xlsx",Sheet1,675,506,4,T2,HF87.5,11.59
"DMI, milk yield and composition.xlsx",Sheet1,676,506,5,T2,HF87.5,13.07
"DMI, milk yield and composition.xlsx",Sheet1,677,507,1,T0,HF87.5,13.81
"DMI, milk yield and composition.xlsx",Sheet1,678,507,2,T0,HF87.5,14.27
"DMI, milk yield and composition.xlsx",Sheet1,679,507,3,T0,HF87.5,14.5
"DMI, milk yield and composition.xlsx",Sheet1,680,507,4,T0,HF87.5,14.48
"DMI, milk yield and composition.xlsx",Sheet1,681,507,5,T0,HF87.5,14.02
"DMI, milk yield and composition.xlsx",Sheet1,682,507,1,T1,HF87.5,13.29
"DMI, milk yield and composition.xlsx",Sheet1,683,507,2,T1,HF87.5,13.2
"DMI, milk yield and composition.xlsx",Sheet1,684,507,3,T1,HF87.5,12.91
"DMI, milk yield and composition.xlsx",Sheet1,685,507,4,T1,HF87.5,13.19
"DMI, milk yield and composition.xlsx",Sheet1,686,507,5,T1,HF87.5,12.41
"DMI, milk yield and composition.xlsx",Sheet1,687,507,1,T2,HF87.5,13.03
"DMI, milk yield and composition.xlsx",Sheet1,688,507,2,T2,HF87.5,12.78
"DMI, milk yield and composition.xlsx",Sheet1,689,507,3,T2,HF87.5,13.03
"DMI, milk yield and composition.xlsx",Sheet1,690,507,4,T2,HF87.5,12.32
"DMI, milk yield and composition.xlsx",Sheet1,691,507,5,T2,HF87.5,12.41
"DMI, milk yield and composition.xlsx",Sheet1,692,508,1,T0,HF87.5,13.95
"DMI, milk yield and composition.xlsx",Sheet1,693,508,2,T0,HF87.5,13.67
"DMI, milk yield and composition.xlsx",Sheet1,694,508,3,T0,HF87.5,14.3
"DMI, milk yield and composition.xlsx",Sheet1,695,508,4,T0,HF87.5,13.78
"DMI, milk yield and composition.xlsx",Sheet1,696,508,5,T0,HF87.5,14.03
"DMI, milk yield and composition.xlsx",Sheet1,697,508,1,T1,HF87.5,13.08
"DMI, milk yield and composition.xlsx",Sheet1,698,508,2,T1,HF87.5,13.64
"DMI, milk yield and composition.xlsx",Sheet1,699,508,3,T1,HF87.5,13.33
"DMI, milk yield and composition.xlsx",Sheet1,700,508,4,T1,HF87.5,12.93
"DMI, milk yield and composition.xlsx",Sheet1,701,508,5,T1,HF87.5,13.66
"DMI, milk yield and composition.xlsx",Sheet1,702,508,1,T2,HF87.5,12.44
"DMI, milk yield and composition.xlsx",Sheet1,703,508,2,T2,HF87.5,12.53
"DMI, milk yield and composition.xlsx",Sheet1,704,508,3,T2,HF87.5,12.71
"DMI, milk yield and composition.xlsx",Sheet1,705,508,4,T2,HF87.5,11.86
"DMI, milk yield and composition.xlsx",Sheet1,706,508,5,T2,HF87.5,12.45
"DMI, milk yield and composition.xlsx",Sheet1,707,509,1,T0,HF87.5,13.5
"DMI, milk yield and composition.xlsx",Sheet1,708,509,2,T0,HF87.5,13.5
"DMI, milk yield and composition.xlsx",Sheet1,709,509,3,T0,HF87.5,14.17
"DMI, milk yield and composition.xlsx",Sheet1,710,509,4,T0,HF87.5,13.8
"DMI, milk yield and composition.xlsx",Sheet1,711,509,5,T0,HF87.5,14.18
"DMI, milk yield and composition.xlsx",Sheet1,712,509,1,T1,HF87.5,12.75
"DMI, milk yield and composition.xlsx",Sheet1,713,509,2,T1,HF87.5,12.66
"DMI, milk yield and composition.xlsx",Sheet1,714,509,3,T1,HF87.5,13.62
"DMI, milk yield and composition.xlsx",Sheet1,715,509,4,T1,HF87.5,13.25
"DMI, milk yield and composition.xlsx",Sheet1,716,509,5,T1,HF87.5,12.67
"DMI, milk yield and composition.xlsx",Sheet1,717,509,1,T2,HF87.5,13.33
"DMI, milk yield and composition.xlsx",Sheet1,718,509,2,T2,HF87.5,12.18
"DMI, milk yield and composition.xlsx",Sheet1,719,509,3,T2,HF87.5,12.97
"DMI, milk yield and composition.xlsx",Sheet1,720,509,4,T2,HF87.5,12.09
"DMI, milk yield and composition.xlsx",Sheet1,721,509,5,T2,HF87.5,12.3
"DMI, milk yield and composition.xlsx",Sheet1,722,510,1,T0,HF87.5,14.33
"DMI, milk yield and composition.xlsx",Sheet1,723,510,2,T0,HF87.5,14.71
"DMI, milk yield and composition.xlsx",Sheet1,724,510,3,T0,HF87.5,13.89
"DMI, milk yield and composition.xlsx",Sheet1,725,510,4,T0,HF87.5,14.4
"DMI, milk yield and composition.xlsx",Sheet1,726,510,5,T0,HF87.5,14.32
"DMI, milk yield and composition.xlsx",Sheet1,727,510,1,T1,HF87.5,12.75
"DMI, milk yield and composition.xlsx",Sheet1,728,510,2,T1,HF87.5,13.3
"DMI, milk yield and composition.xlsx",Sheet1,729,510,3,T1,HF87.5,12.76
"DMI, milk yield and composition.xlsx",Sheet1,730,510,4,T1,HF87.5,13.49
"DMI, milk yield and composition.xlsx",Sheet1,731,510,5,T1,HF87.5,13.35
"DMI, milk yield and composition.xlsx",Sheet1,732,510,1,T2,HF87.5,12.31
"DMI, milk yield and composition.xlsx",Sheet1,733,510,2,T2,HF87.5,12.74
"DMI, milk yield and composition.xlsx",Sheet1,734,510,3,T2,HF87.5,12.94
"DMI, milk yield and composition.xlsx",Sheet1,735,510,4,T2,HF87.5,12.8
"DMI, milk yield and composition.xlsx",Sheet1,736,510,5,T2,HF87.5,12.48
"DMI, milk yield and composition.xlsx",Sheet1,737,511,1,T0,HF87.5,13.55
"DMI, milk yield and composition.xlsx",Sheet1,738,511,2,T0,HF87.5,13.37
"DMI, milk yield and composition.xlsx",Sheet1,739,511,3,T0,HF87.5,14.39
"DMI, milk yield and composition.xlsx",Sheet1,740,511,4,T0,HF87.5,14.37
"DMI, milk yield and composition.xlsx",Sheet1,741,511,5,T0,HF87.5,13.98
"DMI, milk yield and composition.xlsx",Sheet1,742,511,1,T1,HF87.5,12.51
"DMI, milk yield and composition.xlsx",Sheet1,743,511,2,T1,HF87.5,12.96
"DMI, milk yield and composition.xlsx",Sheet1,744,511,3,T1,HF87.5,13.38
"DMI, milk yield and composition.xlsx",Sheet1,745,511,4,T1,HF87.5,13.12
"DMI, milk yield and composition.xlsx",Sheet1,746,511,5,T1,HF87.5,13.52
"DMI, milk yield and composition.xlsx",Sheet1,747,511,1,T2,HF87.5,12.5
"DMI, milk yield and composition.xlsx",Sheet1,748,511,2,T2,HF87.5,12.22
"DMI, milk yield and composition.xlsx",Sheet1,749,511,3,T2,HF87.5,12.45
"DMI, milk yield and composition.xlsx",Sheet1,750,511,4,T2,HF87.5,12.1
"DMI, milk yield and composition.xlsx",Sheet1,751,511,5,T2,HF87.5,13.9
